NewPop,OrderPop,Tide,N.Potomac.No.Reps,PercPolymorphic,A.All,Ap,Ar,Ho,He,Fis,Lower_Fis_CI,Upper_Fis_CI,FST.within,Gst.Hed.within,Josts.D.within
TC,1,NonTidal,8,0.8,20,2,1.42,0.62,0.4,-0.53,-0.77,-0.31,0.097,0.113,0.058
PR,2,NonTidal,5,0.9,23,2.3,1.46,0.7,0.41,-0.55,-0.78,-0.46,0.058,0.03,0.019
FMC1,3,NonTidal,9,0.8,23,2.3,1.42,0.58,0.4,-0.41,-0.67,-0.16,0.069,0.073,0.038
FMC2,4,NonTidal,3,0.7,21,2.1,1.47,0.63,0.39,-0.53,-0.78,-0.22,0.038,-0.014,-0.003
SHC,5,NonTidal,2,0.7,19,1.9,1.5,0.7,0.38,-0.81,-1,-0.5,0.023,-0.08,-0.032
SJR,6,NonTidal,10,0.8,25,2.5,1.42,0.61,0.4,-0.46,-0.75,-0.26,0.068,0.067,0.035
HCK1,7,NonTidal,8,0.7,21,2.1,1.37,0.45,0.35,-0.24,-0.47,0.06,0.071,0.085,0.041
HCK2,8,NonTidal,9,0.7,31,3.1,1.45,0.5,0.43,-0.11,-0.24,0.04,0.059,0.082,0.04
LC,9,NonTidal,6,0.8,20,2,1.44,0.72,0.41,-0.73,-0.92,-0.54,0.101,0.104,0.054
MF,10,NonTidal,18,0.9,29,2.9,1.42,0.47,0.41,-0.09,-0.23,0.01,0.027,0.029,0.013
WSP1,11,NonTidal,14,0.8,27,2.7,1.44,0.44,0.42,0.02,-0.15,0.18,0.032,0.046,0.024
WSP2,12,NonTidal,19,0.9,36,3.6,1.47,0.47,0.46,-0.01,-0.09,0.07,0.009,0.011,0.005
OJ,13,NonTidal,5,0.7,25,2.5,1.44,0.5,0.39,-0.17,-0.35,-0.04,0.008,-0.023,-0.01
TL,14,NonTidal,5,0.8,25,2.5,1.46,0.49,0.42,-0.07,-0.24,0.07,-0.001,-0.033,-0.014
SL,15,NonTidal,25,1,37,3.7,1.45,0.52,0.44,-0.13,-0.3,-0.06,0.027,0.027,0.013
AC,16,NonTidal,10,0.8,29,2.9,1.47,0.55,0.45,-0.19,-0.35,0,0.01,-0.009,-0.004
BWK1,17,NonTidal,6,0.8,28,2.8,1.47,0.45,0.43,0.01,-0.19,0.22,0.025,0.028,0.016
BWK2,18,NonTidal,10,0.8,30,3,1.48,0.57,0.46,-0.2,-0.42,0.02,0.012,-0.008,-0.003
POR1,19,NonTidal,12,0.7,26,2.6,1.44,0.49,0.42,-0.12,-0.28,0.04,0.042,0.052,0.028
POR2,20,NonTidal,7,0.7,26,2.6,1.4,0.4,0.37,-0.02,-0.28,0.28,0.057,0.079,0.042
WF2,21,NonTidal,13,0.8,27,2.7,1.44,0.48,0.42,-0.09,-0.27,0.06,0.024,0.023,0.012
WF1,22,NonTidal,11,0.8,29,2.9,1.44,0.51,0.42,-0.14,-0.32,-0.02,0.047,0.057,0.029
EF,23,NonTidal,22,0.8,32,3.2,1.45,0.46,0.44,-0.06,-0.2,0.16,0.013,0.013,0.007
PL,24,NonTidal,1,0.5,15,1.5,1.5,0.5,0.25,NA,NA,NA,0.063,-0.02,0.007
GWP,25,Tidal,28,1,41,4.1,1.44,0.36,0.43,0.13,0.07,0.28,0.066,0.115,0.058
SWP,26,Tidal,29,0.8,41,4.1,1.45,0.41,0.44,0.07,-0.03,0.19,0.068,0.117,0.06
PB,27,Tidal,5,0.7,27,2.7,1.47,0.44,0.42,0.05,-0.22,0.38,0.06,0.107,0.055
GM,28,Tidal,17,0.9,40,4,1.5,0.5,0.48,-0.03,-0.13,0.08,0.063,0.109,0.058
BB_A,29,Tidal,36,0.9,51,5.1,1.54,0.54,0.53,-0.01,-0.07,0.07,0.088,0.164,0.092
BB_B,30,Tidal,41,0.9,49,4.9,1.53,0.52,0.53,-0.01,-0.06,0.09,0.054,0.1,0.053
LSP,31,Tidal,25,0.9,48,4.8,1.5,0.4,0.48,0.23,0.11,0.28,0.045,0.084,0.043
MWC,32,Tidal,25,0.8,43,4.3,1.5,0.51,0.49,-0.04,-0.13,0.06,0.066,0.117,0.06
AL,33,Tidal,30,1,51,5.1,1.5,0.45,0.49,0.05,-0.2,0.28,0.085,0.153,0.081
NC,34,Tidal,41,0.9,44,4.4,1.44,0.42,0.43,0,-0.06,0.08,0.137,0.23,0.122
PTR_A,35,Tidal,24,0.8,37,3.7,1.38,0.36,0.38,0,-0.11,0.2,0.114,0.188,0.094
PTR_B,36,Tidal,21,0.9,41,4.1,1.42,0.39,0.41,0.04,-0.12,0.29,0.112,0.192,0.099
